sample,x
0,
1,0.381232
2,
3,0.347019
4,
5,0.327468
6,
7,0.317693
8,
9,0.293255
10,
11,0.356794
12,
13,0.361681
14,
15,0.386119
16,
17,0.395894
18,
19,0.371457
20,
21,0.327468
22,
23,0.322581
24,
25,0.224829
26,
27,0.249267
28,
29,0.356794
30,
31,0.366569
32,
33,0.40567
34,
35,0.376344
36,
37,0.337243
38,
39,0.317693
40,
41,0.327468
42,
43,0.381232
44,
45,0.395894
46,
47,0.415445
48,
49,0.420332
50,
51,0.42522
52,
53,0.42522
54,
55,0.42522
56,
57,0.410557
58,
59,0.351906
60,
61,0.410557
62,
63,0.410557
64,
65,0.415445
66,
67,0.430108
68,
69,0.400782
70,
71,0.386119
72,
73,0.381232
74,
75,0.371457
76,
77,0.395894
78,
79,0.410557
80,
81,0.415445
82,
83,0.420332
84,
85,0.430108
86,
87,0.40567
88,
89,0.395894
90,
91,0.376344
92,
93,0.381232
94,
95,0.400782
96,
97,0.376344
98,
99,0.40567
100,
101,0.42522
102,
103,0.420332
104,
105,0.371457
106,
107,0.391007
108,
109,0.376344
110,
111,0.40567
112,
113,0.386119
114,
115,0.40567
116,
117,0.42522
118,
119,0.430108
120,
121,0.40567
122,
123,0.395894
124,
125,0.347019
126,
127,0.395894
128,
129,0.391007
130,
131,0.40567
132,
133,0.434995
134,
135,0.42522
136,
137,0.400782
138,
139,0.386119
140,
141,0.347019
142,
143,0.366569
144,
145,0.395894
146,
147,0.391007
148,
149,0.376344
150,
151,0.434995
152,
153,0.420332
154,
155,0.381232
156,
157,0.40567
158,
159,0.351906
160,
161,0.391007
162,
163,0.40567
164,
165,0.420332
166,
167,0.42522
168,
169,0.415445
170,
171,0.40567
172,
173,0.376344
174,
175,0.332356
176,
177,0.400782
178,
179,0.386119
180,
181,0.400782
182,
183,0.42522
184,
185,0.415445
186,
187,0.415445
188,
189,0.400782
190,
191,0.381232
192,
193,0.371457
194,
195,0.400782
196,
197,0.415445
198,
199,0.40567
200,
201,0.430108
202,
203,0.415445
204,
205,0.391007
206,
207,0.391007
208,
209,0.371457
210,
211,0.391007
212,
213,0.40567
214,
215,0.415445
216,
217,0.430108
218,
219,0.42522
220,
221,0.40567
222,
223,0.381232
224,
225,0.356794
226,
227,0.400782
228,
229,0.400782
230,
231,0.415445
232,
233,0.434995
234,
235,0.420332
236,
237,0.400782
238,
